757,大嫌い,hate,[だいきらい]
758,中,"inside, middle",[なか]
759,二階,"second floor, upstairs",[にかい]
760,無くす,"lose, get rid of",[なくす]
761,まあまあ,"OK, not bad",
762,黄色,yellow color,[きいろ]
763,ランチ,lunch (loan word),
764,魚,fish,[さかな]
765,味,"taste, flavor",[あじ]
766,りんご,apple,
767,みかん,mandarin orange,
768,皿,"plate, counter (for plates or helpings)",[さら]
769,コーヒー,coffee,
770,コップ,"cup, glass",
771,二人,two persons,[ふたり]
772,止む,"stop, cease",[やむ]
773,九,nine,[く]
774,昼間,"daytime, during the day",[ひるま]
775,いつ頃,"about when, about what time",[いつごろ]
776,字,"(individual) character, letter",[じ]
777,七,seven (Chinese origin),[しち]
778,お釣り,change (of money),[おつり]
779,名字,"surname, family name",[みょうじ]
780,おじ,(one's own) uncle,
781,おば,(one's own) aunt,
782,祖父,(one's own) grandfather (formal),[そふ]
783,祖母,(one's own) grandmother (formal),[そぼ]
784,大事,importance,[だいじ]
785,見方,"view, perspective",[みかた]
786,鳥,bird,[とり]
787,犬,dog,[いぬ]
788,返事,"answer, reply",[へんじ]
789,また,"again, also, or",
790,年間,period of one year,[ねんかん]
791,青,"blue, green",[あお]
792,赤,red color,[あか]
793,信号,"signal, traffic light",[しんごう]
794,円,circle,[えん]
795,非常に,"very, extremely",[ひじょうに]
796,複雑,"complicated, intricate",[ふくざつ]
