遥	Far Off
洪	Flood
紳	Gentleman
呉	Give
穀	Grain
摂	In Addition
寂	Lonely
宰	Manager
陵	Mausoleum
凡	Mediocre
尉	Military Officer
錯	Mixed
靖	Peaceful
恭	Respect
縫	Sew
舶	Ship
搾	Squeeze
猶	Still
窒	Suffocate
碑	Tombstone
智	Wisdom
款	Article
盲	Blind
醸	Brew
凹	Concave
弔	Condolence
凸	Convex
烏	Crow
敢	Daring
堕	Degenerate
鼓	Drum
衡	Equilibrium
伐	Fell
酵	Fermentation
閲	Inspection
遮	Intercept
腸	Intestines
瑠	Lapis Lazuli
乙	Latter
楓	Maple
膜	Membrane
紺	Navy
蒼	Pale
漬	Pickle
哉	Question Mark
峡	Ravine
賊	Robber
旋	Rotation
俸	Salary
喝	Scold
羅	Spread Out
萌	Sprout
槽	Tank
坪	Two Mat Area
遍	Universal
胎	Womb
陪	Accompany
扶	Aid
迭	Alternate
鶏	Chicken
瑞	Congratulations
暁	Dawn
剖	Divide
凌	Endure
藩	Fiefdom
譜	Genealogy
璃	Glassy
淑	Graceful
傑	Greatness
殻	Husk
錠	Lock
媒	Mediator
濁	Muddy
椎	Oak
赦	Pardon
戯	Play
享	Receive
嘱	Request
肖	Resemblance
憤	Resent
漣	Ripples
朽	Rot
奔	Run
帆	Sail
菅	Sedge
酌	Serve
慨	Sigh
絹	Silk
窃	Steal
硫	Sulfur
亜	Asia
屯	Barracks
岬	Cape
鋳	Cast
拙	Clumsy
詠	Compose
慶	Congratulate
酪	Dairy
篤	Deliberate
侮	Despise
堪	Endure
禍	Evil
雌	Female
睦	Friendly
胆	Guts
擬	Imitate
漆	Lacquer
閑	Leisure
憧	Long For
卑	Lowly
姻	Marry
忌	Mourning
曹	Official
峠	Peak
吟	Recital
礁	Reef
沙	Sand
蔑	Scorn
汰	Select
紡	Spinning
遷	Transition
叔	Uncle
甚	Very
浪	Wander
梓	Wood Block
崇	Worship
